Account name,Site name,Transferable,Sandbox,Environment name,WP Site URL,Environment type (PRD/STG/DEV),Domain,PHP version,WP version,DB storage (GB),File storage (GB),Total storage (GB),Bandwidth 30 day avg (GB),Bandwidth 30 day sum (GB),Total Visits 30 day avg,Total Visits 30 day sum,Site Tags
everneu,Eco City Junk,false,false,ecoctyjnk23stg,http://ecoctyjnk23stg.wpenginepowered.com,STG,ecoctyjnk23stg.wpenginepowered.com,8.2,6.5.5,0.00411987,0.25818253,0.26230240,0.00000119,0.00003699,0,2,
everneu,Elme,false,false,elmedev,http://elmedev.wpenginepowered.com,DEV,elmedev.wpenginepowered.com,8.2,6.8.2,0.25426865,0.58037949,0.83464813,0.00037148,0.01151586,0,7,
everneu,Elme,false,false,elme,http://elmearts.com,PRD,elmearts.com,8.2,6.8.2,0.23133087,0.53839874,0.76972961,0.04628941,1.43497183,212,6576,
everneu,Email Signature Images,false,false,emailsigimages,http://emailsigimages.wpenginepowered.com,PRD,emailsigimages.wpenginepowered.com,8.2,6.8.2,0.00188446,0.08724594,0.08913040,0.00735671,0.22805804,24,764,
everneu,everneu,false,false,everneu,http://everneu.com,PRD,everneu.com,8.2,6.8.2,0.02610779,0.21066666,0.23677444,0.01152314,0.35721743,37,1161,everneu
everneu,everneu dev,false,false,everneustage,http://everneustage.wpengine.com,STG,everneustage.wpengine.com,8.2,6.8.2,0.00185013,0.08491516,0.08676529,0.00000176,0.00005449,0,3,everneu
everneu,Everneu Internal,false,false,everneuint,http://i.everneu.com,PRD,i.everneu.com,8.2,6.8.2,0.04900360,0.21700287,0.26600647,0.01436563,0.44533463,2,91,everneu
everneu,Everneu Internal,false,false,everneuintstg,http://everneuintstg.wpengine.com,STG,everneuintstg.wpengine.com,8.2,6.8.2,0.03645706,0.18922043,0.22567749,0.00013758,0.00426493,0,17,everneu
everneu,Eversandbox,false,false,eversandboxdev,http://eversandboxdev.wpenginepowered.com,DEV,eversandboxdev.wpenginepowered.com,8.2,6.8.2,0.02402115,0.22229385,0.24631500,0.00026039,0.00807213,0,14,
everneu,Eversandbox,false,false,eversandbox,http://eversandbox.wpenginepowered.com,PRD,eversandbox.wpenginepowered.com,8.2,6.8.2,0.02175522,0.37440872,0.39616394,0.00016428,0.00509266,62,1922,
everneu,Eversandbox,false,false,eversandboxstg,http://eversandboxstg.wpenginepowered.com,STG,eversandboxstg.wpenginepowered.com,8.2,6.8.2,0.19796753,0.37826538,0.57623291,0.00015007,0.00465232,0,14,
everneu,Fleming Homes,false,false,fleminghomedev,http://fleminghomedev.wpenginepowered.com,DEV,fleminghomedev.wpenginepowered.com,8.2,6.8.2,0.76754761,1.26923370,2.03678131,0.01979947,0.61378370,18,559,
everneu,Fleming Homes,false,false,fleminghome,http://www.fleminghomes.co.uk,PRD,www.fleminghomes.co.uk,8.2,6.8.2,0.69925690,2.82275772,3.52201462,1.35459623,41.99248329,524,16251,
everneu,Fleming Homes,false,false,fleminghomestg,http://fleminghomestg.wpenginepowered.com,STG,fleminghomestg.wpenginepowered.com,8.2,6.8.2,0.71626663,0.96905136,1.68531799,0.00018789,0.00582456,0,8,
everneu,Fleming Homes 25,false,false,fleming25,http://fleming25.wpenginepowered.com,DEV,fleming25.wpenginepowered.com,8.2,6.8.2,0.35082245,1.04446030,1.39528275,0.00012507,0.00387728,0,19,
